EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
32717,1696884,REGULAR,DIXIE ELEMENTARY SCHOOL,,10201 CASALANDA DR,,LOUISVILLE,KY,40272,SCHOOL CAFETERIA OR FOOD SERVICE,2022-08-25,100,A,DIXIE ELEMENTARY SCHOOL,,502
117374,1756952,REGULAR,SOUL FIRE COMPANY,,,,LOUISVILLE,KY,40202,SELF-CONTAINED MOBILE FOOD UNITS,2023-05-19,100,A,SOUL FIRE COMPANY,,10541
33106,1689776,REGULAR,BEECHMONT COMMUNITY CENTER,,205 W WELLINGTON AVE,,LOUISVILLE,KY,40214,RETAIL WITH LIMITED SERVICE,2022-07-28,100,,BEECHMONT COMMUNITY CENTER,,496
33099,1756799,REGULAR,ARBY'S #714,,1203 S HURSTBOURNE PKWY,,LOUISVILLE,KY,40222,FOOD SERVICE,2023-05-18,100,A,ARBY'S #714,,495
33088,1677261,REGULAR,GOLDEN NUGGET BAR,,2922 HIKES LN,,LOUISVILLE,KY,40218,FOOD SERVICE,2022-06-06,100,A,GOLDEN NUGGET BAR,,488
32880,1703950,REGULAR,CHANCE SCHOOL INC.,,4200 LIME KILN LN,,LOUISVILLE,KY,40222,RETAIL WITH LIMITED SERVICE,2022-09-26,100,,CHANCE SCHOOL INC.,,475
32879,1732654,REGULAR,MARYHURST SCHOOL,,1015 DORSEY LN,,LOUISVILLE,KY,40223,SCHOOL CAFETERIA OR FOOD SERVICE,2023-02-01,100,A,MARYHURST SCHOOL,,474
32865,1744359,REGULAR,LUHR ELEMENTARY SCHOOL,,6900 FEGENBUSH LN,,LOUISVILLE,KY,40228,SCHOOL CAFETERIA OR FOOD SERVICE,2023-03-27,100,A,LUHR ELEMENTARY SCHOOL,,468
116821,1715246,REGULAR,STARBUCKS #65508,,7718 BARDSTOWN RD STE 101,,LOUISVILLE,KY,40291,FOOD SERVICE,2022-11-07,100,A,STARBUCKS #65508,,10551
116976,1716126,OTHER,MCDONALD'S,,1245 BARDSTOWN RD,,LOUISVILLE,KY,40204,FOOD SERVICE,2022-10-21,100,,MCDONALD'S,,10552
