,Name,Rating,Review Count,Price,Address
172,The Fish House/Cafe Beignet,4.5,339,$,"1310 Winter Ave, Louisville, KY 40204"
173,Mochi Dog,4.0,17,,"304 W Woodlawn Ave, Louisville, KY 40214"
174,Sway,3.5,180,$$,"311 S 4th St, Louisville, KY 40202"
175,Blue Dog Bakery & Cafe,4.5,326,$$,"2868 Frankfort Ave, Louisville, KY 40206"
176,Deapster 502,5.0,4,,"1001 Logan St, Louisville, KY 40204"
177,Dragon King's Daughter,4.0,10,$,"1543 Bardstown Rd, Louisville, KY 40201"
178,Time 4 Thai,4.0,300,$$,"2206 Frankfort Ave, Louisville, KY 40206"
179,Sarino,4.0,262,$$,"1030 Goss Ave, Louisville, KY 40217"
180,Funmi's Cafe,4.0,90,$$,"3028 Bardstown Rd, Louisville, KY 40205"
181,Mirage Mediterranean Express,4.5,12,,"4000 Dutchmans Ln, Louisville, KY 40207"
182,The Hub Louisville,4.0,308,$$,"2235 Frankfort Ave, Louisville, KY 40206"
183,Buck's Restaurant & Bar,4.5,252,$$$,"425 W Ormsby Ave, Louisville, KY 40203"
184,Cottage Inn,4.0,121,$,"570 Eastern Pkwy, Louisville, KY 40217"
185,Upland Brewing - Jeffersonville,3.5,150,$$,"707 W Riverside Dr, Jeffersonville, IN 47130"
186,Thai Noodles,4.5,229,$,"5800 Preston Hwy, Louisville, KY 40219"
187,211 Clover Lane,4.0,62,$$$$,"211 Clover Ln, Louisville, KY 40207"
188,Vietnam Kitchen,4.5,608,$$,"5339 Mitscher Ave, Louisville, KY 40214"
189,Bodega Mi Sueno,4.0,30,$,"3646 Mall Rd, Louisville, KY 40218"
190,Biscuit Belly -  St  Matthews,4.5,187,$$,"3723 Lexington Rd, Louisville, KY 40207"
191,Open Caribbean Kitchen,4.5,37,,"4735 Poplar Level Rd, Ste 1, Louisville, KY 40213"
192,Game,4.5,443,$$,"2295 Lexington Rd, Louisville, KY 40206"
193,Grassa Gramma,4.0,429,$$$,"2210 Holiday Manor Ctr, Louisville, KY 40222"
194,Kayrouz Cafe,4.5,73,$$,"3801 Willis Ave, Louisville, KY 40207"
195,Founders' Cafe,4.5,8,$,"2825 Lexington Rd, Louisville, KY 40280"
196,Orange Clover Kitchen & More,4.5,87,$$,"590 Missouri Ave, Ste 100, Jeffersonville, IN 47130"
197,Burger Girl Diner,3.5,175,$$,"3344 Frankfort Ave, Louisville, KY 40206"
198,Pho Ba Luu,4.0,340,$$,"1019 E Main St, Louisville, KY 40206"
199,Namnam Cafe,4.0,270,$$,"318 Wallace Ave, St. Matthews, KY 40207"
200,Havana Night Restaurant & Cabaret ,3.5,10,,"649 S 4th St, Louisville, KY 40202"
201,Bahn Thai,4.5,152,$,"8125 Bardstown Rd, Louisville, KY 40291"
202,Vinaigrette Salad Kitchen,4.0,6,,"3012 Bardstown Rd, Louisville, KY 40205"
203,First Watch,4.0,104,$$,"2225 Taylorsville Rd, Louisville, KY 40205"
204,The Joy Luck,4.0,409,$$,"1285 Bardstown Rd, Louisville, KY 40204"
205,Emmy Squared Pizza - Nulu  Louisville,4.0,231,$$,"825 E Market St, Louisville, KY 40206"
206,Hop Atomica,0.0,0,,"1318 McHenry St, Louisville, KY 40217"
207,BACKSIDE at Whiskey Row,4.5,7,,"108 W Washington St, Louisville, KY 40202"
208,Pasha's Mediterranean Cafe,4.0,47,$,"3904 Bardstown Rd, Louisville, KY 40218"
209,Taco Choza,4.5,332,,"3922 Westport Rd, Louisville, KY 40207"
210,Kathmandu Kitchen & Bar,4.5,191,$$,"3825 Bardstown Rd, Ste 108, Louisville, KY 40218"
211,Con Huevos,4.5,805,$$,"2339 Frankfort Ave, Louisville, KY 40206"
212,Happy Belly Waterside,4.5,2,,"1515 River Shore Dr, Louisville, KY 40206"
213,Lucky Burrito,4.0,32,,"2118 Bardstown Rd, Louisville, KY 40205"
214,Sweet Havana ,4.5,64,$,"5510 Fern Valley Rd, Ste 101, Louisville, KY 40228"
215,Zini Louisville,5.0,1,,"1032 Story Ave, Louisville, KY 40206"
216,Iron Quarter,4.0,5,,"400 S 2nd St, Louisville, KY 40202"
217,Caribbean Cafe,4.5,57,$,"317 W Woodlawn Ave, Louisville, KY 40214"
218,Melt 502,4.0,28,$,"6318 Bardstown Rd, Louisville, KY 40291"
219,Koko+Rae Caribbean Kitchen,0.0,0,,"1511 Bardstown Rd, Louisville, KY 40205"
220,Aspen Creek Grill,4.0,254,$$,"302 Bullitt Ln, Louisville, KY 40222"
221,Brazeiros Churrascaria - Brazilian Steakhouse,4.0,283,$$$,"450 S 4th St, Louisville, KY 40202"
222,Mesh Louisville,4.0,388,$$,"3608 Brownsboro Rd, Louisville, KY 40207"
223,Guy Fieri's Smokehouse,3.0,782,$$,"434 South 4th St, Louisville, KY 40202"
224,Down One Bourbon Bar,3.5,301,$$,"321 W Main St, Louisville, KY 40202"
